,symbol,stock_return_100,market_return_100,sentiment,market_cap,ebitda,pe_ratio,peg_ratio,book_value,dividend_per_share,dividend_yield,eps,revenue_per_share,profit_margin,operating_margin,return_on_assets,return_on_equity,revenue,gross_profit,diluted_eps,quarterly_earnings_growth,quarterly_revenue_growth,trailing_pe,forward_pe,price_to_sales_ratio,price_to_book_ratio,ev_to_revenue,ev_to_ebitda,beta,outperformed
7468,VVX,-0.10214808043875684,0.09360718955319823,0.27365122222222227,1218190000,157786000,None,None,32.73,0,0,-0.69,137.69,-0.005,0.0331,0.029,-0.0213,2890860000,295012000,-0.69,-0.348,1.332,-,-,0.835,1.218,1.029,31.38,None,False
7469,VWE,-0.5186915887850467,0.09360718955319823,0.04372446031746033,63542000,-2181000,None,None,6.07,0,0,-0.04,5.06,-0.0079,-0.0887,-0.0217,-0.0078,305045000,88982000,-0.04,-0.642,0.398,-,28.33,0.768,0.676,1.755,15.29,1.144,False
7470,VWEWW,-0.64,0.09360718955319823,,None,22206000,0.857,None,6.01,0,0,0.105,6.12,0.0362,0.0449,0,0.0317,210295000,0,0.105,-0.597,0.034,0.857,-,-,-,-,-,0.468,False
7471,VXRT,-0.42380952380952386,0.09360718955319823,0.032527900000000005,102580000,-104528000,None,None,0.824,0,0,-0.84,0.001,0,-1031.15,-0.368,-0.723,107000,-9076000,-0.84,0,-0.703,-,42.73,916.27,1.105,267.85,-0.434,0.829,False
7472,VYGR,0.511764705882353,0.09360718955319823,0.0633413873239437,329896000,-44646000,None,0,1.528,0,0,-1.27,1.066,-1.135,-1.243,-0.18,-0.602,40907000,-19857000,-1.27,0,26.72,-,-,3.271,2.825,1.667,-8.56,1.185,True
7473,VYNE,-0.35519014751657874,0.09360718955319823,0.06205229729729731,8613900,-34223000,None,None,9.66,0,0,-10.44,0.15,0,-71.9,-0.398,-0.848,477000,477000,-10.44,0,-0.978,-,-,0.676,0.243,0.0207,0.517,1.544,False
7474,VYNT,-0.6164900662251656,0.09360718955319823,0.032906675,3422700,-15500000,None,None,2.353,0,0,-2.65,0.168,0,-16.37,-0.238,-0.469,980000,-699000,-2.65,0,-0.406,-,-,5.52,0.414,0.389,0.0866,None,False
7475,VZ,0.07058404162999331,0.09360718955319823,0.2387098250000001,170117988000,50214998000,7.92,5.51,21.7,2.585,0.0665,5.06,32.56,0.155,0.242,0.0555,0.248,136834998000,77702000000,5.06,0.413,0.035,7.92,7.39,1.169,1.798,2.427,7.19,0.335,False
7476,VZIO,-0.026058631921824126,0.09360718955319823,0.11902456666666668,1793102000,9900000,None,1.595,1.917,0,0,0,9.65,-0.0002,0.0034,0.0043,-0.0011,1862800000,312500000,0,-0.601,-0.152,-,39.84,0.843,4.784,0.705,-67.01,1.73,False
7477,W,0.24660869565217403,0.09360718955319823,0.10550628500000002,3805792000,-1167000064,None,23.5,-23.48,0,0,-13.84,115.26,-0.109,-0.108,-0.202,0,12218000000,3416000000,-13.84,-0.551,-0.046,-,104.17,0.321,-,0.582,-8.94,3.096,True
